backgroundrank,bokehfactor,cameramodel,cameramodelndex,coherency,colorcontrastf,colorsimilarity,dominantcol1percent,dominantcol1value,dominantcol1l,dominantcol1a,dominantcol1b,dominantcol2percent,dominantcol2value,dominantcol2l,dominantcol2a,dominantcol2b,dominantcol3percent,dominantco3value,dominantcol3l,dominantcol3a,dominantcol3b,dominantcol4percent,dominantcol4value,dominantcol4l,dominantcol4a,dominantcol4b,dominantcol5percent,dominantcol5value,dominantcol5l,dominantcol5a,dominantcol5b,dominantcol6percent,dominantcol6value,dominantcol6l,dominantcol6a,dominantcol6b,dominantcol7percent,dominantcol7value,dominantcol7l,dominantcol7a,dominantcol7b,dominantcol8percent,dominantcol8value,dominantcol8l,dominantcol8a,dominantcol8b,strongcol1percent,strongcol1value,strongcol1l,strongcol1a,strongcol1b,strongcol2percent,strongcol2value,strongcol2l,strongcol2a,strongcol2b,contrastf,datetaken,directionsimilarity,dynrange,dynrangefactor,exposuref,facesrank,finalrank,focusf,fullframcolorsim,gridcolorsimilarity,height,horizonleft,intballancef,lifeid,objectsh,objectsw,objectsx,objectsy,objectsfactor,origheight,origwidth,partnerphotoid,photoindex,position,saturationf,sky,splitlevel,status,subclusterindex,texturescalesimilarity,url,userid,version,width,datenew,phash,closedeyesf,confidence,enginecode,faceexposuref,facefocusf,gender,genderconf,ffaceheight,kissf,leyeclosed,leyex,leyey,mouthp1x,mouthp1y,mouthp2x,mouthp2y,mouthp3x,mouthp3y,necscore,nosep1x,nosep1y,pitch,profilef,reyeclosed,reyex,reyey,facerank,recindex,recindexnew,roll,significance,smile,facewidth,facex,facey,yaw,faceid,isbaby,datesent,rnum,uploaddate
5.35,0,Canon_EOS_650D_0,1,0.83,0.04,50,24,BADDF4,86.35,-6.51,-15.02,24,808585,55.13,-1.84,-0.65,19,D8D5CD,85.3,-0.38,4.3,11,3A4539,27.98,-7.22,5.78,8,5B6944,42.38,-12.4,19.1,5,AFB0AF,71.73,-0.54,0.38,3,DDCEB4,83.34,1.02,14.81,2,6.56E+62,45.31,-6.29,6.65,0,0,0,0,0,0,0,0,0,0,0.33,1437767830,50,-0.9,1,1.77,0,1.37,1,50,50,720,19,0.96,70138577976,32.94;19.77;24.6;16.69,26.07;23.73;7.91;6.74,58.3;9.38;85.25;33.98,47.88;60.61;53.15;56.22,1.5,3456,5184,72863325117,72863325117,1,0.25,1,1,Success,1.43777E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325117/medium/1491810477/enhance,21011995998,15,1080,1437767830,69384832936438C4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03:11.0,1,4/10/2017
5.87,0,Canon_EOS_650D_0,1,0.86,0.13,12,38,859739,59.36,-20.27,46.05,35,E3E9EF,92.06,-0.89,-3.61,10,667427,46.26,-16.9,39.41,5,7C6D2F,46.21,-2.27,36.06,2,53551E,34.86,-9.15,30.97,2,516521,39.86,-18.75,34.88,2,9B7A3E,53.21,5.62,37.22,1,999140,59.34,-7.88,43.21,10,667427,46.26,-16.9,39.41,38,859739,59.36,-20.27,46.05,0.15,1437861297,95.79,-0.98,1,1.95,0,1.4,1,68.26,69.46,720,37,1,70138577976,3.95;6.15;6.59;2.64,9.67;11.72;9.67;11.43,72.66;11.72;82.03;34.57,34.7;35.58;29.87;38.21,0,3456,5184,72863326031,72863326031,1,0.64,1,0,Success,1.43786E+12,85.02,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863326031/medium/1491810689/enhance,21011995998,15,1080,1437861297,6.3822E+15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,07:30.6,1,4/10/2017
5.18,0,Canon_PowerShot_SX210_IS_0,1,0.75,0.02,50,38,E0E0DD,89.1,-0.53,1.46,15,C0C0BD,77.63,-0.55,1.5,11,6F8156,51.56,-14.62,21.21,7,979997,63.01,-1.11,0.79,7,9AAE80,68.53,-15.24,21.37,6,5A5D62,39.38,-0.07,-3.27,3,3A4D66,32.18,-0.15,-16.89,3,303134,20.33,0.29,-2.06,0,0,0,0,0,0,0,0,0,0,0.3,1368006673,50,-0.92,1,1.86,9.17,2.74,1,50,50,1278,\N,0.88,70138577976,37.5;10.84;8.5,28.6;14.04;13.52,30.16;47.83;75.39,52.73;32.52;19.63,1.5,4320,2432,72863323955,72863323955,1,0.12,0,1,Success,1.36801E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323955/medium/1491810014/enhance,21011995998,15,720,1368006673,1C0399907C6E4AB0,0.0;0.0,103;100,1111;1111,3.66;3.62,0.0;0.0,;,13.0;43.53,4.47;4.49,0;0,0;0,48.07;53.87,31.56;35.14,47.5;54.29,34.07;37.69,46.14;52.83,34.07;37.69,44.79;51.37,34.07;37.69,96.1;84.4,46.02;52.23,32.95;36.73,0;0,0.0;0.0,0;0,43.71;50.54,31.58;35.56,8.6;9.12,0;0,0;0,0.0;-11.77,1;1,72.22;100.0,7.94;7.97,42.0;48.46,30.41;34.05,0.0;0.0,d362811d-ccd5-41e7-8ae6-6b1311c9e87e;c8e1d381-690f-47c1-b0c2-583b947bb1f6,false;false,55:22.8,1,4/10/2017
5.61,0,Canon_EOS_650D_0,1,0.67,\N,9,21,463C2C,25.91,1.52,11.51,16,745F3C,41.57,3.45,23.17,15,1A160D,7.43,0.16,5.68,13,A48859,58.25,4.2,29.16,4,66391D,29,17.23,25.61,4,FBF25C,93.79,-14.37,70.85,4,F0C836,81.89,0.32,72.7,4,844E1E,38.63,18.6,36.7,0,BF7F11,58.32,16.96,61.27,1,D8A318,70.08,8.54,70.01,0.55,1452182521,92.55,-0.99,1,1.56,5.21,2.63,1,91.2,81.71,720,\N,0.86,70138577976,14.49;4.39;44.36,9.38;7.62;27.83,76.76;53.61;72.36,36.9;23.72;55.78,0.15,3456,5184,72863324475,72863324475,5,0.64,0,0,Success,1.45218E+12,91.61,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324475/medium/1491810239/enhance,21011995998,15,1080,1452182521,9747294797E8789F,0,100,1001,3.9,0,FALSE,0,15.44,0,0,32.79,38.66,31.37,45.42,31.37,45.42,31.37,45.42,40.2,34.46,43.41,20,-1,0,32.79,38.66,4.9,0,0,0,1,0,10.29,25.13,33.2,-90,e364894e-0b84-4903-a765-7433403c95d1,FALSE,00:45.1,1,4/10/2017
3.51,0,Canon_EOS_650D_0,1,0.83,0.26,9,48,787C50,50.67,-9.02,23.56,15,4E562A,34.89,-10.89,24.41,7,B28A7D,60.89,13.31,12.8,6,F0EDE9,93.87,0.31,2.28,4,995C41,45.37,22.17,26.02,4,C9C8BD,80.4,-1.61,5.61,4,856A50,46.81,6.92,18.67,3,D2B5AD,75.93,9.12,7.91,0,825F2E,42.95,8.62,33.06,0,0,0,0,0,0.22,1420190379,72.75,-0.98,1,2,0,1.29,-1.33,96.69,86.12,720,\N,0.98,70138577976,35.58,33.11,31.93,0,0,3456,5184,72863331109,72863331109,2,0.38,0,1,Success,1.42019E+12,85.88,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331109/medium/1491811716/enhance,21011995998,15,1080,1420190379,60E020F0CA0518C0,0,24,10,0,0,,22.35,7.88,0,0,22.88,13.13,22.29,17.26,21.35,17.26,20.41,17.26,0,21.27,14.69,0,0,0,20.35,12.53,0,0,0,10.49,1,0,5.25,19.05,10.84,0,7bc481c5-5330-447c-8367-ada46127498f,FALSE,25:03.5,1,4/10/2017
3.12,0,Canon_EOS_650D_0,1,0.74,\N,12,28,494746,30.32,0.62,0.89,21,7A7876,50.54,0.37,1.36,19,9D9E9C,64.98,-0.74,0.91,11,BFC1C0,77.89,-0.87,0.25,7,E9EDEF,93.5,-0.96,-1.44,7,151515,6.77,0,0,2,412523,18.22,13,6.95,2,6D3E3A,31.81,20.05,11.34,0,9A6820,48.1,13.66,46.05,0,7C521C,38.56,12.42,37.23,0.4,1452179260,93.07,-0.99,1,1.38,5.41,1.34,-0.73,96.94,90.16,720,\N,0.98,70138577976,57.1;25.04;13.18;26.35,9.38;14.36;5.27;28.42,49.51;36.62;83.79;0.0,43.05;70.72;39.97;53.59,1.5,3456,5184,72863324083,72863324083,2,0.08,0,0,Success,1.45218E+12,95.73,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324083/medium/1491810070/enhance,21011995998,15,1080,1452179260,710C0EDAF6545FA2,0.0;0.0,25;37,1;100,-5.28;3.04,-0.19;-1.14,false;,0.0;20.0,4.13;5.37,0;0,0;0,28.84;40.19,45.03;40.66,29.21;39.66,46.84;43.97,29.21;39.07,46.84;43.97,29.21;38.49,46.84;43.97,0.0;0.0,28.39;39.29,46.31;42.73,20;0,-1.0;0.0,0;0,28.84;38.56,45.03;41.18,-4.47;5.94,0;0,0;0,0.0;-9.462,0;1,0.0;34.44,2.76;3.58,28.13;37.51,43.57;39.62,90.0;0.0,fb2bb5a3-3b14-4648-93a6-42761c12cdb0;b8805fa4-611a-4d2a-bc53-64d9495a51b7,false;false,57:23.6,1,4/10/2017
4.76,0,Canon_PowerShot_SX210_IS_0,1,0.74,0.09,16,27,71736C,48.08,-2.16,3.6,17,9D9E9B,64.95,-0.93,1.43,14,44632B,38.42,-22.22,27.93,11,36392E,23.36,-3.68,6.43,10,374A26,29.03,-14.92,19.08,6,C3C3C0,78.72,-0.54,1.5,4,5D6F4A,44.5,-13.97,18.46,4,EDECEA,93.42,-0.01,1.07,0,0,0,0,0,0,0,0,0,0,0.31,1367980475,62.51,-0.99,1,1.3,0,1.15,1,87.74,76.44,1278,\N,0.97,70138577976,8.5,23.92,5.72,14.94,0,4320,2432,72863323615,72863323615,1,0.1,0,0,Success,1.36798E+12,93.16,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323615/medium/1491809878/enhance,21011995998,15,720,1367980475,AE6677CDEEDACF02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54:14.2,1,4/10/2017
0.24,0,Canon_EOS_650D_0,1,0.82,\N,19,24,472B24,20.81,12.03,9.94,22,CE72B1,60.19,44.44,-17.6,19,9E6D52,50.47,16.2,22.88,12,F1B1CD,78.78,27.44,-4.95,9,D3AD91,73.4,9.8,19.59,7,F3E5E2,91.95,4.25,3.15,6,8A443C,37.6,28.98,18.59,1,9952A5,46.34,42.61,-32.56,4,8B452F,37.75,27.81,26.7,0,0,0,0,0,0,1452183587,43.17,-0.99,1,1.47,7.72,4.35,-3.72,54.9,67.58,720,44,1,70138577976,,,,,0,3456,5184,72863324702,72863324702,1,0.5,1,1,Success,1.45218E+12,84.44,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324702/medium/1491810303/enhance,21011995998,15,1080,1452183587,743CBE7230C6A739,0.0;0.0,62;100,1;1111,3.97;3.9,0.0;0.0,false;,0.0;63.53,22.91;22.81,0;0,0;0,25.78;54.35,46.9;42.82,26.1;53.93,57.4;54.93,26.1;51.43,57.4;54.93,26.1;48.92,57.4;54.93,0.0;79.5,29.73;50.45,52.24;49.55,0;0,-1.0;0.0,0;0,25.78;47.55,46.9;43.41,4.97;7.8,0;0,0;0,0.0;-3.136,1;1,0.0;20.0,15.27;15.21,15.41;43.32,40.5;35.94,-90.0;0.0,75369a47-075f-49e5-b3fc-421b9b5eb07b;cc883bee-c030-4cd3-8b98-2ae18efd926f,false;false,00:45.6,1,4/10/2017
4.01,0,Canon_EOS_650D_0,1,0.73,\N,6,24,878684,55.95,-0.01,1.2,20,62605F,40.88,0.59,0.84,18,413F3E,26.81,0.63,0.91,16,AFB0AF,71.73,-0.54,0.38,5,171414,6.62,1.36,0.48,5,D1D2D3,84.15,-0.15,-0.62,5,F1F6F9,96.6,-1.1,-2.03,2,53392F,26.65,10.06,10.82,0,9A671B,47.82,14.04,47.78,0,AA3440,40.2,48.72,20.54,0.38,1452179263,99.52,-0.99,1,1.38,5.51,1.03,0.19,99.92,99.16,720,\N,0.98,70138577976,32.06;10.1;22.84;21.08,8.79;2.34;26.66;19.92,46.29;39.26;0.0;80.27,47.0;17.57;54.9;38.21,-0.44,3456,5184,72863324121,72863324121,3,0.08,0,0,Success,1.45218E+12,98.53,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324121/medium/1491810091/enhance,21011995998,15,1080,1452179263,790C0ED8DB725F94,0.0;0.0;-3.0,100;32;32,1111;1;1,3.35;3.57;3.61,0.0;0.0;0.0,;false;false,31.76;0.0;0.0,6.58;6.36;5.37,0;0;0,0;0;97,39.68;43.05;41.9,36.51;65.8;54.01,38.86;42.47;41.83,39.86;68.58;56.48,38.15;42.47;41.83,39.64;68.58;56.48,37.43;42.47;41.83,39.42;68.58;56.48,86.9;0.0;0.0,38.44;43.74;40.98,38.35;67.76;55.27,0;20;0,0.0;-1.0;-1.0,0;0;97,37.51;43.05;41.9,36.1;65.8;54.01,7.98;4.57;1.61,0;0;0,0;0;0,7.431;0.0;0.0,1;1;1,56.67;0.0;0.0,4.39;4.24;3.58,36.22;39.9;40.75,34.45;63.55;52.51,0.0;-90.0;90.0,8c0390b8-04b4-4648-8916-5376acd340c8;7083eb61-b0b1-4998-afac-0b5d1ca608df;ca13f04a-89c7-43d3-9a30-072404208872,false;false;false,57:23.7,1,4/10/2017
4.32,0,Canon_EOS_650D_0,1,0.85,\N,50,30,473A1F,25.15,1.59,18.82,28,F2DA8F,87.49,-1.86,39.9,18,715A35,39.72,4.31,24.82,7,DBCED0,83.84,4.85,0.62,4,E8D2B4,85.27,3,17.66,3,252112,12.76,-0.95,10.68,3,A38A58,58.67,2.55,30.22,2,E5B869,77.26,6.98,45.87,0,0,0,0,0,0,0,0,0,0,0.42,1418159229,50,-0.96,1,1.89,0,1.44,0.42,50,50,720,33,0.13,70138577976,80.82,89.94,10.25,19.33,0,3456,5184,72863330175,72863330175,1,0.45,1,0,Success,1.41816E+12,50,https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330175/medium/1491811415/enhance,21011995998,15,1080,1418159229,EB8C97352D232E2A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18:55.4,1,4/10/2017
