url,objectsh,finalrank,facerank,strongcol1percent
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325117/medium/1491810477/enhance,4,1.37,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863326031/medium/1491810689/enhance,4,1.4,0,10
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323955/medium/1491810014/enhance,3,2.74,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324475/medium/1491810239/enhance,3,2.63,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331109/medium/1491811716/enhance,1,1.29,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324083/medium/1491810070/enhance,4,1.34,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323615/medium/1491809878/enhance,1,1.15,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324702/medium/1491810303/enhance,0,4.35,2,4
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324121/medium/1491810091/enhance,4,1.03,3,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330175/medium/1491811415/enhance,1,1.44,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330908/medium/1491811658/enhance,3,1.18,3,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328158/medium/1491810831/enhance,3,5.45,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324696/medium/1491810299/enhance,0,1.84,1,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324772/medium/1491810327/enhance,1,2.28,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331495/medium/1491811836/enhance,2,1.25,0,2
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324538/medium/1491810252/enhance,3,1.2,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332523/medium/1491812238/enhance,0,2.54,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330798/medium/1491811617/enhance,0,1.04,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330626/medium/1491811553/enhance,4,1.26,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323888/medium/1491809987/enhance,3,0.44,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323705/medium/1491809915/enhance,3,1.39,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863324365/medium/1491810196/enhance,1,1.77,1,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325514/medium/1491810611/enhance,1,1.54,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325406/medium/1491810580/enhance,4,1.36,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327127/medium/1491810714/enhance,4,0.76,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323722/medium/1491809923/enhance,3,3.2,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329216/medium/1491811120/enhance,0,3.47,2,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330922/medium/1491811662/enhance,1,1.39,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325111/medium/1491810474/enhance,4,2.57,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328949/medium/1491811039/enhance,0,4.78,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331803/medium/1491811951/enhance,2,1.25,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331642/medium/1491811888/enhance,0,0.66,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863325256/medium/1491810535/enhance,4,1.41,0,1
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863332381/medium/1491812179/enhance,1,1.41,0,2
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863331385/medium/1491811799/enhance,1,1.28,0,3
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863330974/medium/1491811676/enhance,2,1.14,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323632/medium/1491809886/enhance,1,0.7,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863323867/medium/1491809974/enhance,2,2.68,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863327807/medium/1491810740/enhance,4,0.74,0,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863328168/medium/1491810833/enhance,4,1.93,1,0
https://im1.shutterfly.com/ng/services/mediarender/THISLIFE/021011995998/media/72863329134/medium/1491811094/enhance,4,6.43,1,0
