value,objectsh_good,objectsh_bad,facerank_good,facerank_bad,finalrank_good,finalrank_bad,strongcol1percent_good,strongcol1percent_bad
0,0.17032967033,0.17032967033,0.631868131868,0.631868131868,0.010989010989,0.010989010989,0.747252747253,0.747252747253
1,0.241758241758,0.241758241758,0.236263736264,0.236263736264,0.71978021978,0.71978021978,0.126373626374,0.126373626374
2,0.148351648352,0.148351648352,0.0769230769231,0.0769230769231,0.0934065934066,0.0934065934066,0.0274725274725,0.0274725274725
3,0.175824175824,0.175824175824,0.043956043956,0.043956043956,0.0824175824176,0.0824175824176,0.043956043956,0.043956043956
4,0.263736263736,0.263736263736,0.00549450549451,0.00549450549451,0.043956043956,0.043956043956,0.0164835164835,0.0164835164835
5,0.0,0.0,0.00549450549451,0.00549450549451,0.0274725274725,0.0274725274725,0.0,0.0
6,0.0,0.0,0.0,0.0,0.010989010989,0.010989010989,0.010989010989,0.010989010989
7,0.0,0.0,0.0,0.0,0.00549450549451,0.00549450549451,0.0164835164835,0.0164835164835
8,0.0,0.0,0.0,0.0,0.00549450549451,0.00549450549451,0.010989010989,0.010989010989
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
